label,review
0,借佛心归一，妄写拙劣字。许久不提笔，墨迹生疏离 
1,孤独的孩子才会喜欢阿楞吧……全世界就只剩下阿楞陪着我…… 
0,为什么做什么事情都要对着我吼？正常说话不行吗？我又不是聋子。 
0,世上的路被诗人写作山高水深，世上的人被追问想要怎样一生。未免过分要每人都能拥有慧根，要么愚笨，要么转身 
0,我讨厌有朋友的人，不喜欢听到人的笑声，不喜欢他们说世界很美好，不喜欢听到他们说世界上好人多，什么正能量，都是假的。 
1,就这么看着，似乎每个人的生活都很有趣，而我只能隔着铁丝网的围墙看着 
0,不喜欢黑狗，所以养了白狗。它叫MyDi，它是不是很可爱 
0,《13号诊室》——根据杨永信真实事件改编的电影。谁会想过，有一天，父母会恨自己的孩子，然后送他们去死。痛苦啊！哭嚎啊！伴着恶魔的微笑啊:“你要做一个乖孩子啊！”地狱在哪里啊？这里就是了吧！孩子都病了吗？社会才病了吧！电影演的很真实啊！杨永信本信（最后一图）比电影更“伟大”呢！
0,原生家庭带给我的痛苦，一辈子都无法抹去 
0,抑郁症是什么 
1,7点50分，情绪崩溃，觉得又没有意义了，10点，情绪也不太好，又说了特别过分的话，又伤害了别人，明明不想这样，可是，又没有希望了，我也不知道。世界有是漆黑的，看着自己喜欢的东西，渐渐的感觉没有兴趣。 
0, 我妈昨天工作辞职了，她辞职回家就带着玩笑的口气说我，“你不让我上班，以后你养我啊”，我只好说我没有能力。我妈说“你有学历有能力有才华，你把你身上这些给我，我一定做得比你好。”依旧玩笑的口气。我说，你想要我身上这些东西，那就把我的抑郁症一起拿走啊，我宁愿做一个废物。 
1,我爸专门给我打了个电话，目的是告诉我得这个病跟他们没关系，明白我就是个废物，叫我不要再烦他，让我去死??原来之前的所有理解，都是假的……以前拼命留下我，现在渴望我去死??真后悔25号当天没跳楼，我不该存在的 
0,也就这点能耐了，别的地方也没有我的容身之处，就这样吧… 
0,7.27p1-p2晚上凉快了出去溜达一圈~晚上没有星星啊，不开心7.28去了万达广场~买盲盒，吃kfc7.29到奶奶家了好无聊7.30自己一个人溜出去玩了逛了迪奥，卡西欧，vans一些店，又去买娃娃了7.31自己出来看电影，《哪吒之魔童降世》，“我命由我不由天”，我这是“我命由天不由我”兴奋的一批天天出来瞎溜达，也不知道干了个啥，无聊死了
0,今天晚上一个人去看了哪吒，一个人买了三只扇贝，一个人逛商场，真的很爽呀！那些说我们总是一个人怎么怎么样的就不要理他们了，他们那些白痴怎么会懂我们的世界呢大家都要加油呀！一个人怎么了？牛羊总成群，狮虎总独行，一个人才最棒呢！一起加油呀家人们(? ??_??)?
0,为了我的两只小耗子再拼一把！活下去 
0,一个人，骑车，借酒消愁（不要学我） 
0, 拥你入怀 
0,快起来 我还等你请我喝杯奶茶  快点 
0, 想吃肯德基的黑糖珍珠 又不想吃冰淇淋 找个管理组沟通一下 雪顶咖啡不要雪顶 加黑糖行不然后 总结 好好说话 去试试 万一成了呢 今天会很愉快吧 
0,分享图片 
0, 趁着夏天的尾巴 告诉自己 出门就会有去冰 三分糖 每粒珍珠都不放过的奶茶 是不是 是不是满满动力 一本书是看不见去的 但那一句话 还是可以记住吧：不要让未来的你 讨厌现在的你 记录下生活 小小的美好 一点点 一点点 把自己也变成一小孩 谁说我一定要像个大人生活 我不 我的生活 就该是自己的童话世界 欢迎一起浪
0, 昨日开心一游????????和@Vita_Dolce连 都在同城 而且离的好近一起去吃饭哈哈哈 
